rank,title,score,members,episodes,year,link,members_normalized,members_log,episodes_category
90,"""Oshi no Ko"" 2nd Season",8.62,388423,13.0,2024,https://myanimelist.net/anime/55791/Oshi_no_Ko_2nd_Season,0.12579615044521497,12.869852805457306,Série média
92,Haikyuu!! Second Season,8.62,1477029,25.0,2015,https://myanimelist.net/anime/28891/Haikyuu_Second_Season,0.515037334552849,14.205543872749354,Série longa
93,Cyberpunk: Edgerunners,8.61,844162,10.0,2022,https://myanimelist.net/anime/42310/Cyberpunk__Edgerunners,0.2887498618927258,13.646100882893375,Série curta
94,Dungeon Meshi,8.61,409630,24.0,2024,https://myanimelist.net/anime/52701/Dungeon_Meshi,0.13337891022365692,12.923012033437326,Série média
95,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.61,488359,1.0,2020,https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei,0.16152919525204176,13.098808117782792,1 Episódio
96,Natsume Yuujinchou Roku,8.61,192829,11.0,2017,https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku,0.05585969945711774,12.16956425071365,Série curta
97,Suzumiya Haruhi no Shoushitsu,8.6,622830,1.0,2010,https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu,0.20961055000126935,13.34203049291197,1 Episódio
98,"""Oshi no Ko""",8.6,894720,11.0,2023,https://myanimelist.net/anime/52034/Oshi_no_Ko,0.30682734427488584,13.704267216814946,Série curta
99,Hajime no Ippo: Rising,8.6,271976,25.0,2013,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising,0.08415944426705532,12.513472782879306,Série longa
100,Kenpuu Denki Berserk,8.59,695738,25.0,1997,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk,0.23567948242578232,13.452729868986474,Série longa
